test_season,model,class,bin_lower,bin_upper,n,mean_pred,obs_freq
2023-24,base_rate,unavailable,0.0,0.1,0,,
2023-24,base_rate,unavailable,0.1,0.2,0,,
2023-24,base_rate,unavailable,0.2,0.3,0,,
2023-24,base_rate,unavailable,0.3,0.4,0,,
2023-24,base_rate,unavailable,0.4,0.5,0,,
2023-24,base_rate,unavailable,0.5,0.6,29725,0.572,0.617
2023-24,base_rate,unavailable,0.6,0.7,0,,
2023-24,base_rate,unavailable,0.7,0.8,0,,
2023-24,base_rate,unavailable,0.8,0.9,0,,
2023-24,base_rate,unavailable,0.9,1.0,0,,
2023-24,base_rate,full,0.0,0.1,0,,
2023-24,base_rate,full,0.1,0.2,0,,
2023-24,base_rate,full,0.2,0.3,29725,0.2959,0.2642
2023-24,base_rate,full,0.3,0.4,0,,
2023-24,base_rate,full,0.4,0.5,0,,
2023-24,base_rate,full,0.5,0.6,0,,
2023-24,base_rate,full,0.6,0.7,0,,
2023-24,base_rate,full,0.7,0.8,0,,
2023-24,base_rate,full,0.8,0.9,0,,
2023-24,base_rate,full,0.9,1.0,0,,
2023-24,prior_season,unavailable,0.0,0.1,3073,0.0456,0.2766
2023-24,prior_season,unavailable,0.1,0.2,1785,0.1489,0.3714
2023-24,prior_season,unavailable,0.2,0.3,1747,0.2672,0.411
2023-24,prior_season,unavailable,0.3,0.4,1515,0.3542,0.5129
2023-24,prior_season,unavailable,0.4,0.5,1102,0.4499,0.5272
2023-24,prior_season,unavailable,0.5,0.6,12045,0.5666,0.6723
2023-24,prior_season,unavailable,0.6,0.7,1437,0.6479,0.6019
2023-24,prior_season,unavailable,0.7,0.8,913,0.7477,0.5367
2023-24,prior_season,unavailable,0.8,0.9,1026,0.8521,0.7973
2023-24,prior_season,unavailable,0.9,1.0,5082,0.9812,0.8817
2023-24,prior_season,full,0.0,0.1,7243,0.017,0.1009
2023-24,prior_season,full,0.1,0.2,1745,0.15,0.2052
2023-24,prior_season,full,0.2,0.3,12011,0.2888,0.2061
2023-24,prior_season,full,0.3,0.4,1403,0.3514,0.3514
2023-24,prior_season,full,0.4,0.5,1330,0.4602,0.412
2023-24,prior_season,full,0.5,0.6,833,0.5516,0.431
2023-24,prior_season,full,0.6,0.7,1327,0.6361,0.4197
2023-24,prior_season,full,0.7,0.8,1292,0.7449,0.4837
2023-24,prior_season,full,0.8,0.9,1139,0.8385,0.6365
2023-24,prior_season,full,0.9,1.0,1402,0.9494,0.6997
2023-24,fpl_chance,unavailable,0.0,0.1,0,,
2023-24,fpl_chance,unavailable,0.1,0.2,0,,
2023-24,fpl_chance,unavailable,0.2,0.3,0,,
2023-24,fpl_chance,unavailable,0.3,0.4,0,,
2023-24,fpl_chance,unavailable,0.4,0.5,0,,
2023-24,fpl_chance,unavailable,0.5,0.6,29725,0.572,0.617
2023-24,fpl_chance,unavailable,0.6,0.7,0,,
2023-24,fpl_chance,unavailable,0.7,0.8,0,,
2023-24,fpl_chance,unavailable,0.8,0.9,0,,
2023-24,fpl_chance,unavailable,0.9,1.0,0,,
2023-24,fpl_chance,full,0.0,0.1,0,,
2023-24,fpl_chance,full,0.1,0.2,0,,
2023-24,fpl_chance,full,0.2,0.3,29725,0.2959,0.2642
2023-24,fpl_chance,full,0.3,0.4,0,,
2023-24,fpl_chance,full,0.4,0.5,0,,
2023-24,fpl_chance,full,0.5,0.6,0,,
2023-24,fpl_chance,full,0.6,0.7,0,,
2023-24,fpl_chance,full,0.7,0.8,0,,
2023-24,fpl_chance,full,0.8,0.9,0,,
2023-24,fpl_chance,full,0.9,1.0,0,,
2023-24,hierarchical,unavailable,0.0,0.1,3008,0.0535,0.0801
2023-24,hierarchical,unavailable,0.1,0.2,2488,0.1515,0.1584
2023-24,hierarchical,unavailable,0.2,0.3,2221,0.248,0.2305
