test_season,model,class,bin_lower,bin_upper,n,mean_pred,obs_freq
2024-25,base_rate,unavailable,0.0,0.1,0,,
2024-25,base_rate,unavailable,0.1,0.2,0,,
2024-25,base_rate,unavailable,0.2,0.3,5544,0.2906,0.2863
2024-25,base_rate,unavailable,0.3,0.4,0,,
2024-25,base_rate,unavailable,0.4,0.5,0,,
2024-25,base_rate,unavailable,0.5,0.6,0,,
2024-25,base_rate,unavailable,0.6,0.7,0,,
2024-25,base_rate,unavailable,0.7,0.8,0,,
2024-25,base_rate,unavailable,0.8,0.9,0,,
2024-25,base_rate,unavailable,0.9,1.0,0,,
2024-25,base_rate,full,0.0,0.1,0,,
2024-25,base_rate,full,0.1,0.2,0,,
2024-25,base_rate,full,0.2,0.3,0,,
2024-25,base_rate,full,0.3,0.4,0,,
2024-25,base_rate,full,0.4,0.5,5544,0.4535,0.4668
2024-25,base_rate,full,0.5,0.6,0,,
2024-25,base_rate,full,0.6,0.7,0,,
2024-25,base_rate,full,0.7,0.8,0,,
2024-25,base_rate,full,0.8,0.9,0,,
2024-25,base_rate,full,0.9,1.0,0,,
2024-25,prior_season,unavailable,0.0,0.1,1496,0.0529,0.1591
2024-25,prior_season,unavailable,0.1,0.2,858,0.1626,0.1783
2024-25,prior_season,unavailable,0.2,0.3,1122,0.269,0.2656
2024-25,prior_season,unavailable,0.3,0.4,506,0.335,0.2885
2024-25,prior_season,unavailable,0.4,0.5,880,0.4431,0.3432
2024-25,prior_season,unavailable,0.5,0.6,154,0.5652,0.4286
2024-25,prior_season,unavailable,0.6,0.7,132,0.6435,0.5985
2024-25,prior_season,unavailable,0.7,0.8,132,0.7472,0.6818
2024-25,prior_season,unavailable,0.8,0.9,220,0.8598,0.8045
2024-25,prior_season,unavailable,0.9,1.0,44,0.962,0.8636
2024-25,prior_season,full,0.0,0.1,836,0.0592,0.1268
2024-25,prior_season,full,0.1,0.2,506,0.1666,0.2411
2024-25,prior_season,full,0.2,0.3,330,0.2501,0.3091
2024-25,prior_season,full,0.3,0.4,418,0.3516,0.3541
2024-25,prior_season,full,0.4,0.5,1166,0.4583,0.5189
2024-25,prior_season,full,0.5,0.6,572,0.5622,0.5245
2024-25,prior_season,full,0.6,0.7,528,0.6527,0.5928
2024-25,prior_season,full,0.7,0.8,528,0.7471,0.678
2024-25,prior_season,full,0.8,0.9,440,0.8479,0.8
2024-25,prior_season,full,0.9,1.0,220,0.9612,0.8273
2024-25,fpl_chance,unavailable,0.0,0.1,0,,
2024-25,fpl_chance,unavailable,0.1,0.2,0,,
2024-25,fpl_chance,unavailable,0.2,0.3,5011,0.289,0.2251
2024-25,fpl_chance,unavailable,0.3,0.4,0,,
2024-25,fpl_chance,unavailable,0.4,0.5,0,,
2024-25,fpl_chance,unavailable,0.5,0.6,145,0.5,0.4966
2024-25,fpl_chance,unavailable,0.6,0.7,0,,
2024-25,fpl_chance,unavailable,0.7,0.8,42,0.75,1.0
2024-25,fpl_chance,unavailable,0.8,0.9,0,,
2024-25,fpl_chance,unavailable,0.9,1.0,346,0.98,0.9971
2024-25,fpl_chance,full,0.0,0.1,346,0.0128,0.0029
2024-25,fpl_chance,full,0.1,0.2,42,0.1598,0.0
2024-25,fpl_chance,full,0.2,0.3,0,,
2024-25,fpl_chance,full,0.3,0.4,145,0.3196,0.3724
2024-25,fpl_chance,full,0.4,0.5,5011,0.4545,0.5055
2024-25,fpl_chance,full,0.5,0.6,0,,
2024-25,fpl_chance,full,0.6,0.7,0,,
2024-25,fpl_chance,full,0.7,0.8,0,,
2024-25,fpl_chance,full,0.8,0.9,0,,
2024-25,fpl_chance,full,0.9,1.0,0,,
2024-25,hierarchical,unavailable,0.0,0.1,1960,0.0374,0.0367
2024-25,hierarchical,unavailable,0.1,0.2,1012,0.147,0.1532
2024-25,hierarchical,unavailable,0.2,0.3,768,0.2488,0.2643
2024-25,hierarchical,unavailable,0.3,0.4,483,0.3474,0.3644
2024-25,hierarchical,unavailable,0.4,0.5,304,0.4411,0.4868
2024-25,hierarchical,unavailable,0.5,0.6,186,0.5438,0.543
2024-25,hierarchical,unavailable,0.6,0.7,174,0.6465,0.7011
2024-25,hierarchical,unavailable,0.7,0.8,161,0.7508,0.7888
2024-25,hierarchical,unavailable,0.8,0.9,110,0.8395,0.8909
2024-25,hierarchical,unavailable,0.9,1.0,386,0.9942,0.9974
2024-25,hierarchical,full,0.0,0.1,730,0.0413,0.0438
2024-25,hierarchical,full,0.1,0.2,860,0.1448,0.136
2024-25,hierarchical,full,0.2,0.3,609,0.2484,0.2841
2024-25,hierarchical,full,0.3,0.4,325,0.3472,0.4031
2024-25,hierarchical,full,0.4,0.5,377,0.4485,0.4828
2024-25,hierarchical,full,0.5,0.6,460,0.5475,0.5304
2024-25,hierarchical,full,0.6,0.7,458,0.6535,0.6485
2024-25,hierarchical,full,0.7,0.8,588,0.7494,0.7262
2024-25,hierarchical,full,0.8,0.9,560,0.8551,0.8339
2024-25,hierarchical,full,0.9,1.0,577,0.9349,0.8977
2024-25,gbm,unavailable,0.0,0.1,2262,0.0398,0.0526
2024-25,gbm,unavailable,0.1,0.2,884,0.1447,0.1629
2024-25,gbm,unavailable,0.2,0.3,599,0.2486,0.2705
2024-25,gbm,unavailable,0.3,0.4,461,0.3466,0.3514
2024-25,gbm,unavailable,0.4,0.5,302,0.443,0.5199
2024-25,gbm,unavailable,0.5,0.6,161,0.5456,0.4348
2024-25,gbm,unavailable,0.6,0.7,127,0.6493,0.7165
2024-25,gbm,unavailable,0.7,0.8,202,0.7505,0.7871
2024-25,gbm,unavailable,0.8,0.9,145,0.8405,0.8828
2024-25,gbm,unavailable,0.9,1.0,401,0.9925,0.985
2024-25,gbm,full,0.0,0.1,750,0.0369,0.0493
2024-25,gbm,full,0.1,0.2,817,0.1481,0.1701
2024-25,gbm,full,0.2,0.3,501,0.2448,0.2036
2024-25,gbm,full,0.3,0.4,365,0.3513,0.4
2024-25,gbm,full,0.4,0.5,408,0.4518,0.4779
2024-25,gbm,full,0.5,0.6,455,0.5502,0.5011
2024-25,gbm,full,0.6,0.7,462,0.6518,0.671
2024-25,gbm,full,0.7,0.8,585,0.7523,0.7145
2024-25,gbm,full,0.8,0.9,837,0.8524,0.8148
2024-25,gbm,full,0.9,1.0,364,0.919,0.9093
2025-26,base_rate,unavailable,0.0,0.1,0,,
2025-26,base_rate,unavailable,0.1,0.2,0,,
2025-26,base_rate,unavailable,0.2,0.3,5544,0.2884,0.2845
2025-26,base_rate,unavailable,0.3,0.4,0,,
2025-26,base_rate,unavailable,0.4,0.5,0,,
2025-26,base_rate,unavailable,0.5,0.6,0,,
2025-26,base_rate,unavailable,0.6,0.7,0,,
2025-26,base_rate,unavailable,0.7,0.8,0,,
2025-26,base_rate,unavailable,0.8,0.9,0,,
2025-26,base_rate,unavailable,0.9,1.0,0,,
2025-26,base_rate,full,0.0,0.1,0,,
2025-26,base_rate,full,0.1,0.2,0,,
2025-26,base_rate,full,0.2,0.3,0,,
2025-26,base_rate,full,0.3,0.4,0,,
2025-26,base_rate,full,0.4,0.5,5544,0.4601,0.4634
2025-26,base_rate,full,0.5,0.6,0,,
2025-26,base_rate,full,0.6,0.7,0,,
2025-26,base_rate,full,0.7,0.8,0,,
2025-26,base_rate,full,0.8,0.9,0,,
2025-26,base_rate,full,0.9,1.0,0,,
2025-26,prior_season,unavailable,0.0,0.1,506,0.0769,0.1798
2025-26,prior_season,unavailable,0.1,0.2,1430,0.142,0.1385
2025-26,prior_season,unavailable,0.2,0.3,1782,0.265,0.2508
2025-26,prior_season,unavailable,0.3,0.4,748,0.3426,0.258
2025-26,prior_season,unavailable,0.4,0.5,264,0.4297,0.4545
2025-26,prior_season,unavailable,0.5,0.6,418,0.5401,0.5072
2025-26,prior_season,unavailable,0.6,0.7,242,0.6557,0.7314
2025-26,prior_season,unavailable,0.7,0.8,132,0.7436,0.9015
2025-26,prior_season,unavailable,0.8,0.9,22,0.8102,0.9091
2025-26,prior_season,unavailable,0.9,1.0,0,,
2025-26,prior_season,full,0.0,0.1,0,,
2025-26,prior_season,full,0.1,0.2,726,0.155,0.1006
2025-26,prior_season,full,0.2,0.3,726,0.251,0.208
2025-26,prior_season,full,0.3,0.4,638,0.3618,0.3041
2025-26,prior_season,full,0.4,0.5,1232,0.4598,0.5227
2025-26,prior_season,full,0.5,0.6,528,0.5519,0.5739
2025-26,prior_season,full,0.6,0.7,770,0.656,0.6403
2025-26,prior_season,full,0.7,0.8,638,0.7422,0.8119
2025-26,prior_season,full,0.8,0.9,286,0.8304,0.6748
2025-26,prior_season,full,0.9,1.0,0,,
2025-26,fpl_chance,unavailable,0.0,0.1,0,,
2025-26,fpl_chance,unavailable,0.1,0.2,0,,
2025-26,fpl_chance,unavailable,0.2,0.3,4973,0.2868,0.2158
2025-26,fpl_chance,unavailable,0.3,0.4,0,,
2025-26,fpl_chance,unavailable,0.4,0.5,0,,
2025-26,fpl_chance,unavailable,0.5,0.6,129,0.5,0.4806
2025-26,fpl_chance,unavailable,0.6,0.7,0,,
2025-26,fpl_chance,unavailable,0.7,0.8,31,0.75,1.0
2025-26,fpl_chance,unavailable,0.8,0.9,0,,
2025-26,fpl_chance,unavailable,0.9,1.0,411,0.98,1.0
2025-26,fpl_chance,full,0.0,0.1,411,0.0129,0.0
2025-26,fpl_chance,full,0.1,0.2,31,0.1617,0.0
2025-26,fpl_chance,full,0.2,0.3,0,,
2025-26,fpl_chance,full,0.3,0.4,129,0.3233,0.3721
2025-26,fpl_chance,full,0.4,0.5,4973,0.4612,0.5069
2025-26,fpl_chance,full,0.5,0.6,0,,
2025-26,fpl_chance,full,0.6,0.7,0,,
2025-26,fpl_chance,full,0.7,0.8,0,,
2025-26,fpl_chance,full,0.8,0.9,0,,
2025-26,fpl_chance,full,0.9,1.0,0,,
2025-26,hierarchical,unavailable,0.0,0.1,2040,0.0319,0.0387
2025-26,hierarchical,unavailable,0.1,0.2,896,0.1441,0.1228
2025-26,hierarchical,unavailable,0.2,0.3,742,0.2485,0.2332
2025-26,hierarchical,unavailable,0.3,0.4,435,0.3445,0.3333
2025-26,hierarchical,unavailable,0.4,0.5,292,0.4494,0.4418
2025-26,hierarchical,unavailable,0.5,0.6,198,0.5441,0.5051
