model,bin_lo,bin_hi,count,mean_predicted,empirical_rate
home_advantage_only,0.0,0.1,0,,
home_advantage_only,0.1,0.2,0,,
home_advantage_only,0.2,0.3,1373,0.241308,0.265841
home_advantage_only,0.3,0.4,761,0.304565,0.35611
home_advantage_only,0.4,0.5,0,,
home_advantage_only,0.5,0.6,0,,
home_advantage_only,0.6,0.7,0,,
home_advantage_only,0.7,0.8,0,,
home_advantage_only,0.8,0.9,0,,
home_advantage_only,0.9,1.0,0,,
last_season_table,0.0,0.1,75,0.077691,0.106667
last_season_table,0.1,0.2,491,0.158512,0.199593
last_season_table,0.2,0.3,669,0.251987,0.278027
last_season_table,0.3,0.4,508,0.346886,0.314961
last_season_table,0.4,0.5,266,0.441845,0.443609
last_season_table,0.5,0.6,103,0.536956,0.504854
last_season_table,0.6,0.7,22,0.63514,0.636364
last_season_table,0.7,0.8,0,,
last_season_table,0.8,0.9,0,,
last_season_table,0.9,1.0,0,,
market_implied,0.0,0.1,77,0.074051,0.116883
market_implied,0.1,0.2,435,0.157292,0.142529
market_implied,0.2,0.3,643,0.251702,0.228616
market_implied,0.3,0.4,558,0.347695,0.354839
market_implied,0.4,0.5,312,0.443534,0.483974
market_implied,0.5,0.6,101,0.537672,0.633663
market_implied,0.6,0.7,8,0.612876,0.625
market_implied,0.7,0.8,0,,
market_implied,0.8,0.9,0,,
market_implied,0.9,1.0,0,,
dixon_coles_no_promoted_prior,0.0,0.1,73,0.072555,0.123288
dixon_coles_no_promoted_prior,0.1,0.2,431,0.15762,0.164733
dixon_coles_no_promoted_prior,0.2,0.3,693,0.250194,0.233766
dixon_coles_no_promoted_prior,0.3,0.4,520,0.347971,0.367308
dixon_coles_no_promoted_prior,0.4,0.5,306,0.443603,0.441176
dixon_coles_no_promoted_prior,0.5,0.6,94,0.541239,0.638298
dixon_coles_no_promoted_prior,0.6,0.7,15,0.628233,0.4
dixon_coles_no_promoted_prior,0.7,0.8,2,0.707953,1.0
dixon_coles_no_promoted_prior,0.8,0.9,0,,
dixon_coles_no_promoted_prior,0.9,1.0,0,,
dixon_coles,0.0,0.1,74,0.071591,0.121622
dixon_coles,0.1,0.2,447,0.15733,0.161074
dixon_coles,0.2,0.3,659,0.249368,0.23824
dixon_coles,0.3,0.4,509,0.34778,0.349705
dixon_coles,0.4,0.5,316,0.443278,0.452532
dixon_coles,0.5,0.6,108,0.541588,0.611111
dixon_coles,0.6,0.7,20,0.634949,0.5
dixon_coles,0.7,0.8,1,0.701278,1.0
dixon_coles,0.8,0.9,0,,
dixon_coles,0.9,1.0,0,,
blend_dc_market,0.0,0.1,60,0.073173,0.133333
blend_dc_market,0.1,0.2,439,0.158291,0.157175
blend_dc_market,0.2,0.3,677,0.249774,0.212703
blend_dc_market,0.3,0.4,543,0.34549,0.364641
blend_dc_market,0.4,0.5,310,0.441131,0.493548
blend_dc_market,0.5,0.6,97,0.540338,0.608247
blend_dc_market,0.6,0.7,8,0.624301,0.625
blend_dc_market,0.7,0.8,0,,
blend_dc_market,0.8,0.9,0,,
blend_dc_market,0.9,1.0,0,,
