model,bin_lo,bin_hi,count,mean_predicted,empirical_rate
home_advantage_only,0.0,0.1,0,,
home_advantage_only,0.1,0.2,1140,0.190106,0.214912
home_advantage_only,0.2,0.3,1140,0.263759,0.249123
home_advantage_only,0.3,0.4,0,,
home_advantage_only,0.4,0.5,0,,
home_advantage_only,0.5,0.6,0,,
home_advantage_only,0.6,0.7,0,,
home_advantage_only,0.7,0.8,0,,
home_advantage_only,0.8,0.9,0,,
home_advantage_only,0.9,1.0,0,,
last_season_table,0.0,0.1,142,0.074336,0.077465
last_season_table,0.1,0.2,669,0.155931,0.177877
last_season_table,0.2,0.3,777,0.24782,0.262548
last_season_table,0.3,0.4,435,0.343148,0.271264
last_season_table,0.4,0.5,192,0.445017,0.260417
last_season_table,0.5,0.6,58,0.539347,0.413793
last_season_table,0.6,0.7,7,0.630329,0.428571
last_season_table,0.7,0.8,0,,
last_season_table,0.8,0.9,0,,
last_season_table,0.9,1.0,0,,
dixon_coles_no_promoted_prior,0.0,0.1,153,0.071844,0.084967
dixon_coles_no_promoted_prior,0.1,0.2,631,0.153467,0.134707
dixon_coles_no_promoted_prior,0.2,0.3,751,0.248874,0.23968
dixon_coles_no_promoted_prior,0.3,0.4,507,0.34315,0.319527
dixon_coles_no_promoted_prior,0.4,0.5,199,0.437809,0.371859
dixon_coles_no_promoted_prior,0.5,0.6,39,0.536923,0.384615
dixon_coles_no_promoted_prior,0.6,0.7,0,,
dixon_coles_no_promoted_prior,0.7,0.8,0,,
dixon_coles_no_promoted_prior,0.8,0.9,0,,
dixon_coles_no_promoted_prior,0.9,1.0,0,,
dixon_coles,0.0,0.1,166,0.070679,0.090361
dixon_coles,0.1,0.2,634,0.153149,0.135647
dixon_coles,0.2,0.3,716,0.248281,0.244413
dixon_coles,0.3,0.4,496,0.343413,0.310484
dixon_coles,0.4,0.5,217,0.440408,0.359447
dixon_coles,0.5,0.6,47,0.537125,0.425532
dixon_coles,0.6,0.7,4,0.620691,0.25
dixon_coles,0.7,0.8,0,,
dixon_coles,0.8,0.9,0,,
dixon_coles,0.9,1.0,0,,
