scope,model,n_fixtures,log_loss,rps_outcome,brier_cs,mean_p_cs,base_rate_cs,rps_goal_diff
common_coverage,home_advantage_only,1067.0,1.065252,0.226351,0.207601,0.263866,0.298032,0.060327
common_coverage,last_season_table,1067.0,1.05763,0.224921,0.20008,0.288315,0.298032,0.059606
common_coverage,market_implied,1067.0,1.006474,0.207223,0.190235,0.294083,0.298032,0.056168
common_coverage,dixon_coles_no_promoted_prior,1067.0,1.029787,0.215092,0.19384,0.292886,0.298032,0.057782
common_coverage,dixon_coles,1067.0,1.028617,0.214572,0.193017,0.294726,0.298032,0.057692
common_coverage,blend_dc_market,1067.0,1.011992,0.20915,0.190343,0.292754,0.298032,0.0565
own_coverage,home_advantage_only,1140.0,1.065142,0.22645,0.207961,0.26386,0.298684,0.060152
own_coverage,last_season_table,1140.0,1.059629,0.225547,0.200618,0.28843,0.298684,0.059489
own_coverage,market_implied,1067.0,1.006474,0.207223,0.190235,0.294083,0.298032,0.056168
own_coverage,dixon_coles_no_promoted_prior,1140.0,1.033811,0.216486,0.194541,0.292981,0.298684,0.057876
own_coverage,dixon_coles,1140.0,1.032611,0.215971,0.193769,0.294823,0.298684,0.057802
own_coverage,blend_dc_market,1140.0,1.01705,0.210897,0.191267,0.292977,0.298684,0.056687
promoted_fixtures,home_advantage_only,303.0,1.05599,0.227264,0.215024,0.263858,0.311881,0.06433
promoted_fixtures,last_season_table,303.0,1.0484,0.224147,0.203828,0.279289,0.311881,0.063548
promoted_fixtures,market_implied,303.0,0.972167,0.197355,0.189107,0.277884,0.311881,0.058001
promoted_fixtures,dixon_coles_no_promoted_prior,303.0,0.993869,0.205173,0.194298,0.299565,0.311881,0.059788
promoted_fixtures,dixon_coles,303.0,0.989714,0.203341,0.191435,0.306668,0.311881,0.05946
promoted_fixtures,blend_dc_market,303.0,0.97287,0.198272,0.188561,0.290831,0.311881,0.058133
gw1_6,home_advantage_only,170.0,1.064612,0.236317,0.223654,0.263221,0.329412,0.061463
gw1_6,last_season_table,170.0,1.041063,0.229388,0.207255,0.289264,0.329412,0.060497
gw1_6,market_implied,170.0,0.963807,0.204006,0.19756,0.294453,0.329412,0.054906
gw1_6,dixon_coles_no_promoted_prior,170.0,1.015149,0.219943,0.202187,0.294699,0.329412,0.05844
gw1_6,dixon_coles,170.0,1.016163,0.21956,0.201264,0.297096,0.329412,0.058419
gw1_6,blend_dc_market,170.0,0.982974,0.20916,0.197589,0.293876,0.329412,0.056095
promoted_fixtures_gw1_6,home_advantage_only,51.0,1.076657,0.2442,0.206441,0.263188,0.294118,0.060859
promoted_fixtures_gw1_6,last_season_table,51.0,1.050253,0.235786,0.183184,0.276653,0.294118,0.060234
promoted_fixtures_gw1_6,market_implied,51.0,0.970839,0.211178,0.180516,0.271529,0.294118,0.053666
promoted_fixtures_gw1_6,dixon_coles_no_promoted_prior,51.0,1.027407,0.22792,0.18254,0.295895,0.294118,0.058059
promoted_fixtures_gw1_6,dixon_coles,51.0,1.029805,0.226302,0.179281,0.30379,0.294118,0.057926
promoted_fixtures_gw1_6,blend_dc_market,51.0,0.991316,0.216018,0.177322,0.285665,0.294118,0.0552
