scope,model,n_fixtures,log_loss,rps_outcome,brier_cs,mean_p_cs,base_rate_cs,rps_goal_diff
all_seasons,home_advantage_only,1140.0,1.07346,0.232615,0.178543,0.226933,0.232018,0.064063
all_seasons,last_season_table,1140.0,1.037784,0.219768,0.178141,0.253437,0.232018,0.061249
all_seasons,dixon_coles_no_promoted_prior,1140.0,0.983787,0.201379,0.169997,0.252972,0.232018,0.057678
all_seasons,dixon_coles,1140.0,0.981845,0.200858,0.170221,0.254486,0.232018,0.057685
2023-24,home_advantage_only,380.0,1.055616,0.234408,0.164258,0.233122,0.206579,0.071327
2023-24,last_season_table,380.0,1.008783,0.216675,0.171686,0.285027,0.206579,0.06661
2023-24,dixon_coles_no_promoted_prior,380.0,0.942122,0.193683,0.158264,0.256588,0.206579,0.06235
2023-24,dixon_coles,380.0,0.931703,0.190477,0.158899,0.260924,0.206579,0.06212
2024-25,home_advantage_only,380.0,1.082291,0.235785,0.181159,0.220715,0.234211,0.064667
2024-25,last_season_table,380.0,1.049335,0.224486,0.178352,0.226656,0.234211,0.062879
2024-25,dixon_coles_no_promoted_prior,380.0,0.984126,0.202291,0.171314,0.246878,0.234211,0.058105
2024-25,dixon_coles,380.0,0.98224,0.20161,0.170873,0.247328,0.234211,0.057984
2025-26,home_advantage_only,380.0,1.082474,0.227653,0.190211,0.226961,0.255263,0.056195
2025-26,last_season_table,380.0,1.055235,0.218143,0.184386,0.248628,0.255263,0.054258
2025-26,dixon_coles_no_promoted_prior,380.0,1.025113,0.208162,0.180411,0.255449,0.255263,0.052578
2025-26,dixon_coles,380.0,1.031591,0.210487,0.180891,0.255205,0.255263,0.05295
promoted_fixtures,home_advantage_only,184.0,1.086678,0.237524,0.164599,0.229224,0.206522,0.071123
promoted_fixtures,last_season_table,184.0,1.062147,0.229885,0.168031,0.250973,0.206522,0.066907
promoted_fixtures,dixon_coles_no_promoted_prior,184.0,0.922703,0.181305,0.15182,0.26569,0.206522,0.057949
promoted_fixtures,dixon_coles,184.0,0.910351,0.177936,0.153245,0.275135,0.206522,0.057969
gw1_6,home_advantage_only,179.0,1.093226,0.234689,0.183332,0.229399,0.234637,0.064666
gw1_6,last_season_table,179.0,0.971514,0.191992,0.169536,0.253762,0.234637,0.056284
gw1_6,dixon_coles_no_promoted_prior,179.0,0.942177,0.182295,0.169955,0.257611,0.234637,0.054249
gw1_6,dixon_coles,179.0,0.933905,0.180514,0.171073,0.259874,0.234637,0.054216
