method,season,in_sample,n,brier,brier_base_rate,mean_pred,realized_rate,scoreline_loglik
poisson_h2h,2022-23,False,760,0.18795,0.19818,0.3102,0.2724,-1138.85
poisson_h2h,2023-24,False,760,0.15741,0.1639,0.282,0.2066,-1164.998
poisson_h2h,2024-25,False,760,0.17311,0.17936,0.2878,0.2342,-1123.815
poisson_h2h,2023-25 pooled,False,1520,0.16526,0.17182,0.2849,0.2204,-2288.812
poisson_h2h_ou,2022-23,False,760,0.18633,0.19818,0.276,0.2724,-1132.072
poisson_h2h_ou,2023-24,False,760,0.15374,0.1639,0.2496,0.2066,-1153.124
poisson_h2h_ou,2024-25,False,760,0.17023,0.17936,0.2464,0.2342,-1118.132
poisson_h2h_ou,2023-25 pooled,False,1520,0.16198,0.17182,0.248,0.2204,-2271.256
dc_mle_rho=+0.04,2022-23,True,760,0.18631,0.19818,0.2768,0.2724,-1131.913
dc_mle_rho=+0.04,2023-24,False,760,0.15375,0.1639,0.2502,0.2066,-1153.706
dc_mle_rho=+0.04,2024-25,False,760,0.17023,0.17936,0.247,0.2342,-1118.365
dc_mle_rho=+0.04,2023-25 pooled,False,1520,0.16199,0.17182,0.2486,0.2204,-2272.071
dc_brier_rho=+0.12,2022-23,True,760,0.1863,0.19818,0.2785,0.2724,-1132.721
dc_brier_rho=+0.12,2023-24,False,760,0.15378,0.1639,0.2511,0.2066,-1155.646
dc_brier_rho=+0.12,2024-25,False,760,0.17025,0.17936,0.248,0.2342,-1120.021
dc_brier_rho=+0.12,2023-25 pooled,False,1520,0.16202,0.17182,0.2496,0.2204,-2275.667
