method,bin_lo,bin_hi,n,mean_pred,realized_rate
poisson_h2h,0.0,0.1,141,0.0712,0.0638
poisson_h2h,0.1,0.2,289,0.1541,0.09
poisson_h2h,0.2,0.3,395,0.2539,0.2051
poisson_h2h,0.3,0.4,393,0.3499,0.257
poisson_h2h,0.4,0.5,233,0.4426,0.3906
poisson_h2h,0.5,0.6,63,0.5367,0.3968
poisson_h2h,0.6,0.7,6,0.6258,0.3333
poisson_h2h_ou,0.0,0.1,175,0.0702,0.0629
poisson_h2h_ou,0.1,0.2,408,0.1522,0.1373
poisson_h2h_ou,0.2,0.3,453,0.2498,0.2163
poisson_h2h_ou,0.3,0.4,304,0.3472,0.3289
poisson_h2h_ou,0.4,0.5,139,0.4403,0.3813
poisson_h2h_ou,0.5,0.6,36,0.5452,0.4167
poisson_h2h_ou,0.6,0.7,5,0.6207,0.4
dc_rho=+0.04,0.0,0.1,174,0.0706,0.0632
dc_rho=+0.04,0.1,0.2,403,0.1525,0.1365
dc_rho=+0.04,0.2,0.3,452,0.2494,0.219
dc_rho=+0.04,0.3,0.4,314,0.347,0.3217
dc_rho=+0.04,0.4,0.5,136,0.4401,0.3824
dc_rho=+0.04,0.5,0.6,38,0.5452,0.4211
dc_rho=+0.04,0.6,0.7,3,0.63,0.3333
