rho,n_pred,brier,loglik,mean_pred
-0.3,760,0.186674,-1148.121,0.26842
-0.28,760,0.186635,-1145.8836,0.26897
-0.26,760,0.186599,-1143.8941,0.26951
-0.24,760,0.186565,-1142.1199,0.27005
-0.22,760,0.186533,-1140.5367,0.27058
-0.2,760,0.186504,-1139.1247,0.2711
-0.18,760,0.186478,-1137.8683,0.27162
-0.16,760,0.186453,-1136.7549,0.27213
-0.14,760,0.186431,-1135.7742,0.27264
-0.12,760,0.186411,-1134.9178,0.27313
-0.1,760,0.186392,-1134.1787,0.27362
-0.08,760,0.186376,-1133.5511,0.27411
-0.06,760,0.186361,-1133.0301,0.27458
-0.04,760,0.186348,-1132.6119,0.27505
-0.02,760,0.186336,-1132.2933,0.27551
0.0,760,0.186326,-1132.0718,0.27596
0.02,760,0.186318,-1131.9455,0.2764
0.04,760,0.186311,-1131.9133,0.27684
0.06,760,0.186305,-1131.9744,0.27726
0.08,760,0.186301,-1132.1289,0.27768
0.1,760,0.186297,-1132.3773,0.27809
0.12,760,0.186295,-1132.7207,0.27849
0.14,760,0.186295,-1133.1609,0.27888
0.16,760,0.186295,-1133.7006,0.27926
0.18,760,0.186297,-1134.3432,0.27963
0.2,760,0.186299,-1135.0932,0.27999
0.22,760,0.186303,-1135.956,0.28035
0.24,760,0.186308,-1136.9387,0.28069
0.26,760,0.186314,-1138.0502,0.28102
0.28,760,0.186321,-1139.3014,0.28135
0.3,760,0.186329,-1140.7065,0.28166
