tau,d0,captain,gain_mean,gain_sd,p_hit,method,se
1,-60,haaland,0.777,3.45789,1.20078e-17,analytic,0
1,-60,palmer,-0.423,4.91788,5.9247e-15,analytic,0
1,-60,punt,-1.023,7.10217,3.90225e-11,analytic,0
1,-40,haaland,0.777,3.45789,1.17209e-08,analytic,0
1,-40,palmer,-0.423,4.91788,1.3763e-07,analytic,0
1,-40,punt,-1.023,7.10217,6.70908e-06,analytic,0
1,-25,haaland,0.777,3.45789,0.000314913,analytic,0
1,-25,palmer,-0.423,4.91788,0.000672647,analytic,0
1,-25,punt,-1.023,7.10217,0.00307373,analytic,0
1,-15,haaland,0.777,3.45789,0.0241675,analytic,0
1,-15,palmer,-0.423,4.91788,0.0276104,analytic,0
1,-15,punt,-1.023,7.10217,0.0480326,analytic,0
1,-8,haaland,0.777,3.45789,0.167624,analytic,0
1,-8,palmer,-0.423,4.91788,0.155093,analytic,0
1,-8,punt,-1.023,7.10217,0.18106,analytic,0
1,-4,haaland,0.777,3.45789,0.349753,analytic,0
1,-4,palmer,-0.423,4.91788,0.308808,analytic,0
1,-4,punt,-1.023,7.10217,0.315221,analytic,0
1,0,haaland,0.777,3.45789,0.575981,analytic,0
1,0,palmer,-0.423,4.91788,0.506531,analytic,0
1,0,punt,-1.023,7.10217,0.479713,analytic,0
1,8,haaland,0.777,3.45789,0.910984,analytic,0
1,8,palmer,-0.423,4.91788,0.852582,analytic,0
1,8,punt,-1.023,7.10217,0.790911,analytic,0
1,25,haaland,0.777,3.45789,0.999928,analytic,0
1,25,palmer,-0.423,4.91788,0.9994,analytic,0
1,25,punt,-1.023,7.10217,0.995831,analytic,0
4,-60,haaland,0.777,3.45789,2.48414e-06,analytic,0
4,-60,palmer,-0.423,4.91788,3.56912e-06,analytic,0
4,-60,punt,-1.023,7.10217,1.22991e-05,analytic,0
4,-40,haaland,0.777,3.45789,0.00151528,analytic,0
4,-40,palmer,-0.423,4.91788,0.00160259,analytic,0
4,-40,punt,-1.023,7.10217,0.00268327,analytic,0
4,-40,haaland,0.770282,3.45523,0.0014425,mc,6.00087e-05
4,-40,palmer,-0.415848,4.9194,0.001595,mc,6.30963e-05
4,-40,punt,-1.03093,7.10677,0.0026625,mc,8.14772e-05
4,-25,haaland,0.777,3.45789,0.0389086,analytic,0
4,-25,palmer,-0.423,4.91788,0.0366703,analytic,0
4,-25,punt,-1.023,7.10217,0.0437763,analytic,0
4,-15,haaland,0.777,3.45789,0.167838,analytic,0
4,-15,palmer,-0.423,4.91788,0.153956,analytic,0
4,-15,punt,-1.023,7.10217,0.160768,analytic,0
4,-15,haaland,0.776104,3.45644,0.167983,mc,0.00059111
4,-15,palmer,-0.416581,4.91386,0.154138,mc,0.000570918
4,-15,punt,-1.02756,7.11016,0.160535,mc,0.000580438
4,-8,haaland,0.777,3.45789,0.343762,analytic,0
4,-8,palmer,-0.423,4.91788,0.315667,analytic,0
4,-8,punt,-1.023,7.10217,0.312312,analytic,0
4,-4,haaland,0.777,3.45789,0.467356,analytic,0
4,-4,palmer,-0.423,4.91788,0.431949,analytic,0
4,-4,punt,-1.023,7.10217,0.419783,analytic,0
4,0,haaland,0.777,3.45789,0.594208,analytic,0
4,0,palmer,-0.423,4.91788,0.554494,analytic,0
4,0,punt,-1.023,7.10217,0.533634,analytic,0
4,0,haaland,0.774306,3.45527,0.594603,mc,0.00077629
4,0,palmer,-0.417429,4.91252,0.555477,mc,0.000785688
4,0,punt,-0.999928,7.0988,0.53476,mc,0.000788657
4,8,haaland,0.777,3.45789,0.810295,analytic,0
4,8,palmer,-0.423,4.91788,0.774544,analytic,0
4,8,punt,-1.023,7.10217,0.74477,analytic,0
4,25,haaland,0.777,3.45789,0.987463,analytic,0
4,25,palmer,-0.423,4.91788,0.980527,analytic,0
4,25,punt,-1.023,7.10217,0.969759,analytic,0
12,-60,haaland,0.777,3.45789,0.00625366,analytic,0
12,-60,palmer,-0.423,4.91788,0.00586807,analytic,0
12,-60,punt,-1.023,7.10217,0.00661038,analytic,0
12,-40,haaland,0.777,3.45789,0.0607758,analytic,0
12,-40,palmer,-0.423,4.91788,0.0566441,analytic,0
12,-40,punt,-1.023,7.10217,0.058533,analytic,0
12,-25,haaland,0.777,3.45789,0.201467,analytic,0
12,-25,palmer,-0.423,4.91788,0.189081,analytic,0
12,-25,punt,-1.023,7.10217,0.18827,analytic,0
12,-15,haaland,0.777,3.45789,0.358755,analytic,0
12,-15,palmer,-0.423,4.91788,0.33977,analytic,0
12,-15,punt,-1.023,7.10217,0.333958,analytic,0
12,-8,haaland,0.777,3.45789,0.488206,analytic,0
12,-8,palmer,-0.423,4.91788,0.465991,analytic,0
12,-8,punt,-1.023,7.10217,0.45608,analytic,0
12,-4,haaland,0.777,3.45789,0.563667,analytic,0
12,-4,palmer,-0.423,4.91788,0.540593,analytic,0
12,-4,punt,-1.023,7.10217,0.528618,analytic,0
12,0,haaland,0.777,3.45789,0.636873,analytic,0
12,0,palmer,-0.423,4.91788,0.613788,analytic,0
12,0,punt,-1.023,7.10217,0.600217,analytic,0
12,8,haaland,0.777,3.45789,0.767242,analytic,0
12,8,palmer,-0.423,4.91788,0.746579,analytic,0
12,8,punt,-1.023,7.10217,0.731756,analytic,0
12,25,haaland,0.777,3.45789,0.937807,analytic,0
12,25,palmer,-0.423,4.91788,0.927814,analytic,0
12,25,punt,-1.023,7.10217,0.918055,analytic,0
30,-60,haaland,0.777,3.45789,0.0980259,analytic,0
30,-60,palmer,-0.423,4.91788,0.0931147,analytic,0
30,-60,punt,-1.023,7.10217,0.0927148,analytic,0
30,-40,haaland,0.777,3.45789,0.245839,analytic,0
30,-40,palmer,-0.423,4.91788,0.235782,analytic,0
30,-40,punt,-1.023,7.10217,0.232887,analytic,0
30,-40,haaland,0.778846,3.4581,0.245688,mc,0.000680671
30,-40,palmer,-0.427271,4.91599,0.235572,mc,0.000670966
30,-40,punt,-1.03241,7.10657,0.232153,mc,0.000667566
30,-25,haaland,0.777,3.45789,0.407604,analytic,0
30,-25,palmer,-0.423,4.91788,0.394146,analytic,0
30,-25,punt,-1.023,7.10217,0.388498,analytic,0
30,-15,haaland,0.777,3.45789,0.527468,analytic,0
30,-15,palmer,-0.423,4.91788,0.512928,analytic,0
30,-15,punt,-1.023,7.10217,0.50566,analytic,0
30,-15,haaland,0.77656,3.45342,0.527247,mc,0.000789395
30,-15,palmer,-0.420344,4.91217,0.512243,mc,0.000790332
30,-15,punt,-1.02077,7.10746,0.505005,mc,0.00079053
30,-8,haaland,0.777,3.45789,0.610545,analytic,0
30,-8,palmer,-0.423,4.91788,0.596024,analytic,0
30,-8,punt,-1.023,7.10217,0.587993,analytic,0
30,-4,haaland,0.777,3.45789,0.65608,analytic,0
30,-4,palmer,-0.423,4.91788,0.641864,analytic,0
30,-4,punt,-1.023,7.10217,0.633581,analytic,0
30,0,haaland,0.777,3.45789,0.699456,analytic,0
30,0,palmer,-0.423,4.91788,0.685743,analytic,0
30,0,punt,-1.023,7.10217,0.677358,analytic,0
30,0,haaland,0.765352,3.45726,0.697727,mc,0.000726126
30,0,palmer,-0.413323,4.91719,0.684945,mc,0.000734499
30,0,punt,-0.98983,7.09886,0.676702,mc,0.000739554
30,8,haaland,0.777,3.45789,0.777844,analytic,0
30,8,palmer,-0.423,4.91788,0.765643,analytic,0
30,8,punt,-1.023,7.10217,0.757493,analytic,0
30,25,haaland,0.777,3.45789,0.899619,analytic,0
30,25,palmer,-0.423,4.91788,0.891802,analytic,0
30,25,punt,-1.023,7.10217,0.885683,analytic,0
