p_dgw,d0,tau,policy,p_hit,method,se
0.35,-40,12,now,0.103001,analytic,0
0.35,-40,12,wait,0.122736,analytic,0
0.35,-40,12,clairvoyant,0.125224,analytic,0
0.35,-15,12,now,0.455972,analytic,0
0.35,-15,12,wait,0.488722,analytic,0
0.35,-15,12,clairvoyant,0.493542,analytic,0
0.35,-15,12,now,0.457103,mc,0.000787654
0.35,-15,12,wait,0.489868,mc,0.000790407
0.35,0,12,now,0.71963,analytic,0
0.35,0,12,wait,0.743295,analytic,0
0.35,0,12,clairvoyant,0.747045,analytic,0
0.35,15,12,now,0.898669,analytic,0
0.35,15,12,wait,0.909205,analytic,0
0.35,15,12,clairvoyant,0.910999,analytic,0
0.35,40,12,now,0.992402,analytic,0
0.35,40,12,wait,0.993288,analytic,0
0.35,40,12,clairvoyant,0.993466,analytic,0
0.55,-40,12,now,0.0965434,analytic,0
0.55,-40,12,wait,0.129743,analytic,0
0.55,-40,12,clairvoyant,0.131466,analytic,0
0.55,-15,12,now,0.441163,analytic,0
0.55,-15,12,wait,0.496864,analytic,0
0.55,-15,12,clairvoyant,0.500201,analytic,0
0.55,-15,12,now,0.441362,mc,0.000785114
0.55,-15,12,wait,0.49739,mc,0.000790559
0.55,0,12,now,0.706811,analytic,0
0.55,0,12,wait,0.747296,analytic,0
0.55,0,12,clairvoyant,0.749892,analytic,0
0.55,15,12,now,0.891816,analytic,0
0.55,15,12,wait,0.909949,analytic,0
0.55,15,12,clairvoyant,0.911191,analytic,0
0.55,40,12,now,0.991574,analytic,0
0.55,40,12,wait,0.993123,analytic,0
0.55,40,12,clairvoyant,0.993246,analytic,0
0.75,-40,12,now,0.090086,analytic,0
0.75,-40,12,wait,0.136751,analytic,0
0.75,-40,12,clairvoyant,0.137708,analytic,0
0.75,-15,12,now,0.426353,analytic,0
0.75,-15,12,wait,0.505006,analytic,0
0.75,-15,12,clairvoyant,0.50686,analytic,0
0.75,-15,12,now,0.426758,mc,0.000782041
0.75,-15,12,wait,0.5063,mc,0.000790507
0.75,0,12,now,0.693993,analytic,0
0.75,0,12,wait,0.751297,analytic,0
0.75,0,12,clairvoyant,0.752739,analytic,0
0.75,15,12,now,0.884963,analytic,0
0.75,15,12,wait,0.910693,analytic,0
0.75,15,12,clairvoyant,0.911383,analytic,0
0.75,40,12,now,0.990747,analytic,0
0.75,40,12,wait,0.992959,analytic,0
0.75,40,12,clairvoyant,0.993027,analytic,0
