expected_final_margin,tau,hold_weeks,s_weekly_new,sd_total_no_hit,sd_total_hit,breakeven_total_gain,breakeven_pts_per_week,method
-60,6,4,5.4,14.6969,13.7346,7.92862,1.98215,analytic
-30,6,4,5.4,14.6969,13.7346,5.96431,1.49108,analytic
-12,6,4,5.4,14.6969,13.7346,4.78572,1.19643,analytic
0,6,4,5.4,14.6969,13.7346,4,1,analytic
12,6,4,5.4,14.6969,13.7346,3.21428,0.803569,analytic
30,6,4,5.4,14.6969,13.7346,2.03569,0.508923,analytic
60,6,4,5.4,14.6969,13.7346,0.0713831,0.0178458,analytic
-60,6,4,6,14.6969,14.6969,4,1,analytic
-30,6,4,6,14.6969,14.6969,4,1,analytic
-12,6,4,6,14.6969,14.6969,4,1,analytic
0,6,4,6,14.6969,14.6969,4,1,analytic
12,6,4,6,14.6969,14.6969,4,1,analytic
30,6,4,6,14.6969,14.6969,4,1,analytic
60,6,4,6,14.6969,14.6969,4,1,analytic
-60,6,4,6.8,14.6969,16.03,-1.44209,-0.360522,analytic
-30,6,4,6.8,14.6969,16.03,1.27896,0.319739,analytic
-12,6,4,6.8,14.6969,16.03,2.91158,0.727896,analytic
0,6,4,6.8,14.6969,16.03,4,1,analytic
12,6,4,6.8,14.6969,16.03,5.08842,1.2721,analytic
30,6,4,6.8,14.6969,16.03,6.72104,1.68026,analytic
60,6,4,6.8,14.6969,16.03,9.44209,2.36052,analytic
-60,6,4,8,14.6969,18.1108,-9.93691,-2.48423,analytic
-30,6,4,8,14.6969,18.1108,-2.96846,-0.742114,analytic
-12,6,4,8,14.6969,18.1108,1.21262,0.303154,analytic
0,6,4,8,14.6969,18.1108,4,1,analytic
12,6,4,8,14.6969,18.1108,6.78738,1.69685,analytic
30,6,4,8,14.6969,18.1108,10.9685,2.74211,analytic
60,6,4,8,14.6969,18.1108,17.9369,4.48423,analytic
-60,6,6,5.4,14.6969,13.2272,10,1.66667,analytic
-30,6,6,5.4,14.6969,13.2272,7,1.16667,analytic
-12,6,6,5.4,14.6969,13.2272,5.2,0.866667,analytic
0,6,6,5.4,14.6969,13.2272,4,0.666667,analytic
12,6,6,5.4,14.6969,13.2272,2.8,0.466667,analytic
30,6,6,5.4,14.6969,13.2272,1,0.166667,analytic
60,6,6,5.4,14.6969,13.2272,-2,-0.333333,analytic
-60,6,6,6,14.6969,14.6969,4,0.666667,analytic
-30,6,6,6,14.6969,14.6969,4,0.666667,analytic
-12,6,6,6,14.6969,14.6969,4,0.666667,analytic
0,6,6,6,14.6969,14.6969,4,0.666667,analytic
12,6,6,6,14.6969,14.6969,4,0.666667,analytic
30,6,6,6,14.6969,14.6969,4,0.666667,analytic
60,6,6,6,14.6969,14.6969,4,0.666667,analytic
