tau0,d0,policy,p_hit,se
38,0,template,0.26839,0.00099085
38,0,balanced,0.71334,0.00101115
38,0,diff,0.563115,0.00110909
38,0,punt,0.392065,0.00109167
38,0,myopic,0.80261,0.00089002
38,0,dp,0.803165,0.000889075
19,-40,template,0.000245,3.49957e-05
19,-40,balanced,0.13024,0.000752587
19,-40,diff,0.199105,0.000892923
19,-40,punt,0.19313,0.000882697
19,-40,myopic,0.31626,0.00103981
19,-40,dp,0.316845,0.00104032
19,-20,template,0.024055,0.00034261
19,-20,balanced,0.358445,0.00107229
19,-20,diff,0.357115,0.00107141
19,-20,punt,0.297985,0.00102272
19,-20,myopic,0.522065,0.00111694
19,-20,dp,0.522715,0.00111688
19,0,template,0.3309,0.00105215
19,0,balanced,0.656265,0.00106203
19,0,diff,0.5472,0.00111304
19,0,punt,0.423155,0.00110475
19,0,myopic,0.76562,0.000947222
19,0,dp,0.76602,0.000946661
19,20,template,0.86307,0.000768701
19,20,balanced,0.878235,0.000731226
19,20,diff,0.725255,0.000998149
19,20,punt,0.55761,0.00111059
19,20,myopic,0.939555,0.000532876
19,20,dp,0.93987,0.000531575
10,-30,template,0.000235,3.42742e-05
10,-30,balanced,0.09774,0.000664029
10,-30,diff,0.179825,0.000858743
10,-30,punt,0.19895,0.000892661
10,-30,myopic,0.29386,0.00101859
10,-30,dp,0.29397,0.0010187
5,-15,template,0.00697,0.00018603
5,-15,balanced,0.180725,0.000860417
5,-15,diff,0.25862,0.000979121
5,-15,punt,0.275505,0.000999004
5,-15,myopic,0.37744,0.00108393
5,-15,dp,0.377255,0.00108382
