tau,myopic_diff_over_balanced,myopic_punt_over_diff,myopic_balanced_over_template,dp_diff_over_balanced,dp_punt_over_diff,dp_balanced_over_template,closed_form_diff_over_balanced,p_hit_dp_at_boundary
1,-1.125,-2.375,1.125,-1.125,-2.375,1.125,-1.06429,0.464095
2,-2.125,-4.625,2.375,-1.625,-5.625,2.875,-2.12857,0.534494
3,-3.125,-6.875,3.375,-2.625,-6.375,4.375,-3.19286,0.556372
4,-4.375,-9.125,4.625,-3.375,-9.125,5.625,-4.25714,0.559769
5,-5.375,-11.375,5.625,-4.375,-10.375,6.875,-5.32143,0.563352
6,-6.375,-13.625,6.875,-5.625,-12.375,7.875,-6.38571,0.564309
7,-7.375,-15.875,8.125,-6.875,-14.125,9.125,-7.45,0.56352
8,-8.625,-18.125,9.125,-8.125,-16.125,10.375,-8.51429,0.557478
9,-9.625,-20.375,10.375,-9.375,-17.875,11.375,-9.57857,0.5554
10,-10.625,-22.625,11.375,-10.625,-20.125,12.625,-10.6429,0.552964
11,-11.625,-24.875,12.625,-11.875,-22.125,13.625,-11.7071,0.550355
12,-12.875,-27.125,13.875,-13.375,-24.375,14.875,-12.7714,0.54383
13,-13.875,-29.375,14.875,-14.625,-26.125,15.875,-13.8357,0.541043
14,-14.875,-31.875,16.125,-15.875,-28.125,17.125,-14.9,0.538164
15,-15.875,-34.125,17.125,-17.125,-30.375,18.125,-15.9643,0.535228
16,-17.125,-36.375,18.375,-18.375,-32.375,19.375,-17.0286,0.529001
17,-18.125,-38.625,19.625,-19.625,-34.375,20.625,-18.0929,0.526091
18,-19.125,-40.875,20.625,-20.875,-36.625,21.625,-19.1571,0.523162
19,-20.125,-43.125,21.875,-22.125,-38.375,22.875,-20.2214,0.520226
20,-21.375,-45.375,22.875,-23.375,-40.875,23.875,-21.2857,0.514391
21,-22.375,-47.625,24.125,-24.625,-42.875,25.125,-22.35,0.51154
22,-23.375,-49.875,25.375,-25.875,-45.125,26.125,-23.4143,0.508701
23,-24.375,-52.125,26.375,-27.125,-47.125,27.375,-24.4786,0.505875
24,-25.625,-54.375,27.625,-28.375,-49.125,28.625,-25.5429,0.500418
25,-26.625,-56.625,28.625,-29.625,-51.625,29.625,-26.6071,0.497682
26,-27.625,-58.875,29.875,-30.625,-53.375,30.875,-27.6714,0.494968
27,-28.625,-61.375,31.125,-31.875,-55.875,31.875,-28.7357,0.492275
28,-29.875,-63.625,32.125,-33.125,-57.875,33.125,-29.8,0.487157
29,-30.875,-65.875,33.375,-34.375,-60.125,34.125,-30.8643,0.484553
30,-31.875,-68.125,34.375,-35.625,-62.375,35.375,-31.9286,0.481972
31,-32.875,-70.375,35.625,-36.875,-64.375,36.625,-32.9929,0.479415
32,-34.125,-72.625,36.875,-37.875,-66.625,37.625,-34.0571,0.47459
33,-35.125,-74.875,37.875,-39.125,-68.625,38.875,-35.1214,0.472116
34,-36.125,-77.125,39.125,-40.375,-71.125,39.875,-36.1857,0.469663
35,-37.375,-79.375,40.125,-41.625,-73.125,41.125,-37.25,0.465046
36,-38.375,-81.625,41.375,-42.625,-75.375,42.125,-38.3143,0.462668
37,-39.375,-83.875,42.625,-43.875,-77.625,43.375,-39.3786,0.460312
38,-40.375,-86.125,43.625,-45.125,-79.625,44.625,-40.4429,0.457977
